Time;Idleness min;Idleness avg;Idleness stddev;Idleness max;Interferences
900.1;11.4;99.7;161.8;758.3;0
1800.2;11.4;107.8;174.1;960.0;0
2700.3;11.4;147.5;248.3;1348.0;0
3600.4;11.4;147.5;248.3;1348.0;0
4500.4;11.4;147.5;248.3;1348.0;0
5400.5;11.4;147.5;248.3;1348.0;0
6300.6;11.4;147.5;248.3;1348.0;0
7200.7;11.4;147.5;248.3;1348.0;0
8100.8;11.4;207.8;687.6;7028.6;0
