Time;Robot;Node;Idleness;Interferences
22.4;2;6;4.0;0
22.4;0;0;4.0;0
22.4;1;5;4.0;0
22.4;3;10;4.0;0
29.7;0;1;11.3;1
32.3;1;3;13.9;2
33.7;3;8;15.3;2
41.2;0;3;8.9;4
43.2;3;10;20.8;5
73.2;2;7;54.8;5
78.0;0;2;59.6;5
83.6;1;5;61.2;5
94.0;1;8;60.3;5
98.4;0;3;57.2;5
101.8;1;10;58.6;5
110.6;1;8;16.6;5
112.5;0;1;82.8;5
119.7;1;10;17.9;5
122.2;0;0;99.8;5
128.3;1;8;17.7;5
135.8;0;1;23.3;5
145.9;1;5;62.3;5
148.7;0;3;50.3;5
165.8;0;2;87.8;5
172.9;1;8;44.6;5
183.0;0;3;34.3;5
191.8;1;5;45.9;5
197.0;0;1;61.2;5
211.6;0;3;28.6;5
214.1;1;8;41.2;5
218.8;2;9;200.4;5
231.2;0;2;65.4;5
231.8;1;5;40.0;5
232.2;3;8;18.1;5
237.2;2;7;164.0;5
249.2;1;8;17.0;7
250.0;0;3;38.4;7
252.1;3;5;20.3;7
267.4;1;5;15.3;9
273.4;3;3;23.4;9
318.7;1;8;69.5;21
338.6;1;5;71.2;21
354.1;1;8;35.4;23
362.2;1;10;242.5;26
376.3;1;9;157.5;29
384.3;2;9;8.0;29
389.8;1;10;27.6;29
397.2;3;2;166.0;29
398.4;1;8;44.3;29
401.7;2;7;164.5;29
414.8;1;5;76.2;29
416.4;3;3;143.0;29
436.1;0;2;38.9;32
477.3;1;3;60.9;44
508.7;0;3;31.4;55
514.5;3;5;99.7;55
548.6;2;9;164.3;60
566.6;3;8;168.2;60
567.5;2;7;165.8;60
574.5;3;10;184.7;61
586.2;3;9;37.6;63
594.3;1;2;158.2;63
601.7;3;10;27.2;63
610.0;3;8;43.4;63
619.1;3;10;17.4;63
627.9;3;8;17.9;63
652.4;0;5;137.9;65
664.5;3;5;12.1;65
667.3;0;3;158.6;66
680.8;0;1;483.8;67
685.1;1;3;17.8;67
699.1;0;4;680.7;67
702.2;1;2;107.9;67
710.8;3;3;25.7;67
713.0;2;9;126.8;68
718.1;0;1;37.3;69
726.0;2;10;106.9;71
737.6;0;3;26.8;76
740.4;2;9;27.4;77
748.9;0;5;84.4;80
752.5;2;10;26.5;80
763.0;0;3;25.4;84
767.3;2;9;26.9;86
784.9;2;7;217.4;94
811.3;3;5;62.4;102
824.5;1;3;61.5;102
824.7;3;8;196.8;102
833.0;3;10;80.5;102
842.2;3;8;17.5;102
867.5;3;5;56.2;102
922.1;1;1;204.0;104
928.1;2;9;160.8;104
936.0;1;3;111.5;104
937.3;0;2;235.1;104
940.8;2;10;107.8;104
951.5;1;1;29.4;104
953.6;2;9;25.5;104
957.9;0;3;21.9;104
960.9;1;0;838.7;104
969.4;2;7;184.5;104
977.4;0;1;25.9;106
982.5;1;1;5.1;107
993.6;1;0;32.7;107
995.6;0;4;296.5;107
1008.7;1;1;26.2;107
1019.6;1;0;26.0;107
1033.8;1;1;25.1;107
1044.6;1;0;25.0;107
1056.4;1;1;22.6;107
1070.2;1;3;112.3;107
1087.9;1;2;150.6;107
1106.0;1;3;35.8;107
1116.6;2;9;163.0;107
1129.1;2;10;188.3;107
1137.8;2;8;295.6;107
1150.8;0;1;94.4;108
1151.0;2;5;283.5;108
1160.5;0;0;115.9;109
1165.9;2;8;28.1;109
1172.6;0;1;21.8;109
1173.8;2;10;44.7;109
1184.1;0;0;23.6;109
1185.8;2;9;69.2;109
1195.8;0;1;23.2;109
1199.1;2;10;25.3;109
1209.8;0;3;103.8;109
1213.1;2;9;27.3;109
1226.7;0;1;30.9;109
1229.5;2;7;260.1;109
1243.8;0;4;248.2;109
1257.7;1;1;31.0;109
1269.9;0;1;12.2;111
1279.7;0;0;95.6;111
1283.6;1;4;39.8;111
1291.2;0;1;21.3;111
1302.7;0;0;23.0;111
1314.2;0;1;23.0;111
1329.7;0;3;119.9;111
1374.6;2;9;161.5;111
1387.0;2;10;187.9;111
1395.4;2;8;229.5;111
1409.1;2;5;258.1;113
1421.6;2;3;91.9;113
1429.2;1;1;115.0;113
1437.7;2;1;8.5;113
1438.9;1;0;136.2;113
1450.5;1;1;12.8;113
1452.3;2;3;30.7;113
1455.8;3;8;60.4;113
1476.2;0;5;67.1;117
1491.3;0;3;39.0;120
1493.7;2;5;17.5;121
1498.0;1;3;6.7;121
1509.3;0;2;421.4;123
1510.8;2;8;55.0;123
1518.9;2;10;131.9;123
1533.5;2;9;158.9;124
1547.5;2;10;28.6;125
1555.9;2;8;45.1;127
1563.9;0;3;65.9;129
1572.0;2;5;78.3;130
1589.6;2;3;25.7;136
1598.7;0;2;89.4;138
1618.4;0;3;28.8;142
1620.7;2;5;48.7;143
1640.8;2;3;22.4;148
1642.1;0;2;43.4;148
1680.3;0;3;39.5;163
1689.0;2;1;238.5;165
