Time;Robot;Node;Idleness;Interferences
52.4;0;5;26.5;16
56.0;4;6;30.1;16
63.0;7;3;37.1;18
64.8;1;4;38.9;19
65.6;3;2;39.7;19
66.0;6;1;40.1;19
74.2;0;0;48.3;19
79.1;2;7;53.2;21
85.1;5;11;59.2;23
88.5;7;0;14.3;25
91.0;1;8;65.1;27
94.9;6;0;6.4;27
101.0;5;10;75.1;29
116.0;2;0;21.1;36
116.1;1;9;90.2;36
117.4;3;0;1.4;36
120.6;5;14;94.7;37
147.6;5;16;121.7;42
162.1;5;15;136.2;46
177.1;1;0;59.7;52
178.9;5;17;153.0;52
195.9;5;18;170.0;55
217.8;5;19;191.9;60
229.9;4;0;52.8;62
232.7;5;13;206.8;63
249.6;5;12;223.7;63
301.4;5;0;71.5;68
