Time;Robot;Node;Idleness;Interferences
50.8;0;5;25.9;20
55.5;4;6;30.6;24
64.8;3;2;39.9;24
67.1;2;7;42.2;24
69.7;7;3;44.8;24
76.1;4;0;51.2;24
78.1;6;1;53.2;24
79.3;1;4;54.4;24
83.2;0;0;7.1;24
92.2;5;11;67.3;29
104.8;3;0;21.6;35
106.3;1;8;81.4;36
108.3;5;10;83.4;36
126.7;6;0;21.9;44
130.2;5;14;105.3;46
156.8;5;16;131.9;58
171.3;5;15;146.4;66
173.6;1;9;148.7;66
188.0;5;17;163.1;72
204.9;5;18;180.0;79
224.9;5;19;200.0;90
225.4;7;0;98.7;91
231.2;2;0;5.8;92
239.4;5;13;214.5;98
240.7;2;0;9.5;98
291.8;5;0;51.1;111
