Time;Robot;Node;Idleness;Interferences
53.8;4;6;30.4;22
58.0;0;5;34.6;22
62.6;7;3;39.2;22
63.1;3;2;39.7;22
68.6;6;1;45.2;22
74.5;2;7;51.1;22
74.6;4;0;51.2;22
76.9;1;4;53.5;22
82.6;0;0;8.0;22
85.3;5;11;61.9;23
96.2;3;0;13.6;27
101.5;5;10;78.1;28
102.8;1;8;79.4;29
111.6;6;0;15.4;33
121.3;5;14;97.9;37
131.5;1;9;108.1;41
151.3;5;16;127.9;50
165.5;5;15;142.1;56
182.4;5;17;159.0;64
196.1;1;0;84.5;72
199.5;5;18;176.1;73
218.7;5;19;195.3;81
233.2;5;13;209.8;87
246.6;2;0;50.5;93
257.7;7;0;11.1;99
290.5;5;0;32.8;110
