Time;Robot;Node;Idleness;Interferences
51.2;0;5;27.2;22
60.7;7;3;36.7;25
62.6;4;6;38.6;26
63.3;3;2;39.3;26
74.6;0;0;50.6;26
75.7;6;1;51.7;26
82.8;2;7;58.8;27
86.8;5;11;62.8;29
91.1;4;0;16.5;30
102.6;5;10;78.6;35
103.7;3;0;12.6;35
119.9;2;0;16.2;45
121.2;1;4;97.2;45
122.6;5;14;98.6;46
133.2;7;0;13.3;50
139.7;6;0;6.5;51
148.0;5;16;124.0;51
157.0;1;8;133.0;51
162.5;5;15;138.5;51
179.3;5;17;155.3;51
182.7;1;9;158.7;51
197.6;5;18;173.6;51
218.5;5;19;194.5;51
233.1;5;13;209.1;53
237.1;1;0;97.4;53
250.1;5;12;226.1;55
300.7;5;0;63.6;60
