Time;Robot;Node;Idleness;Interferences
57.4;0;6;22.3;38
67.8;2;5;32.7;45
77.8;6;11;42.7;53
77.9;8;3;42.8;53
78.5;1;4;43.4;53
84.8;4;1;49.7;59
85.7;3;12;50.6;59
88.2;0;0;53.1;59
96.6;10;2;61.5;68
111.8;11;10;76.7;82
117.3;7;7;82.2;88
120.1;5;8;85.0;93
132.5;11;14;97.4;107
145.2;9;9;110.1;128
158.8;11;16;123.7;151
173.0;11;15;137.9;174
189.5;11;17;154.4;208
203.4;2;0;115.2;235
207.6;11;18;172.5;244
228.0;11;19;192.9;281
233.3;8;0;29.9;292
235.4;4;0;2.1;292
242.5;11;13;207.4;303
249.0;6;0;13.6;313
252.9;10;0;3.9;318
255.6;3;0;2.7;319
271.8;7;0;16.2;332
292.1;5;0;20.3;343
334.8;9;0;42.7;362
426.2;11;0;91.4;385
443.1;1;0;16.9;390
