Time;Robot;Node;Idleness;Interferences
14.5;0;3;5.9;0
14.6;1;4;6.0;0
104.6;0;4;90.0;0
106.9;1;5;98.3;0
199.5;0;5;92.6;2
208.4;1;4;103.8;2
286.0;0;4;77.6;2
302.7;1;3;288.2;2
378.1;0;5;178.6;2
464.2;0;4;178.2;2
534.5;1;0;525.9;2
558.1;0;5;180.0;2
634.1;1;6;625.5;2
644.2;0;4;180.0;2
794.0;0;3;491.3;2
852.3;1;0;317.8;2
880.4;0;2;871.8;2
954.2;1;6;320.1;2
1086.4;0;1;1077.8;2
1167.9;0;2;287.5;2
1173.0;1;0;320.7;2
1267.5;1;3;473.5;2
1360.2;1;4;716.0;2
1374.7;0;1;288.3;2
1438.9;1;0;265.9;2
1459.8;0;2;291.9;2
1515.7;1;4;155.5;2
1590.9;1;0;152.0;2
1604.4;0;3;336.9;2
1691.1;0;4;175.4;4
1736.8;1;3;132.4;4
1823.5;1;4;132.4;4
1918.9;0;0;328.0;4
