Time;Robot;Node;Idleness;Interferences
35.7;6;26;15.3;1
39.3;3;0;18.9;2
42.8;1;6;22.4;3
45.1;0;24;9.7;4
45.6;3;1;18.3;4
47.9;4;3;27.5;4
48.1;6;19;27.7;4
48.5;5;10;11.8;4
49.7;2;18;28.3;4
50.7;0;23;10.6;4
51.1;11;7;30.7;4
52.0;1;5;18.2;4
52.2;3;0;12.9;4
53.5;8;2;33.1;4
56.2;5;14;13.8;4
56.2;0;24;11.1;4
56.7;7;28;36.3;4
58.8;3;1;13.2;5
59.5;4;13;25.9;5
59.9;11;9;33.4;5
60.1;6;26;24.4;6
61.5;1;6;18.7;6
63.3;2;17;42.7;6
64.3;5;10;15.8;6
64.5;3;4;31.8;6
65.5;9;26;5.4;6
65.7;7;27;37.6;6
67.0;11;7;15.9;6
69.8;0;20;48.4;7
70.6;4;3;22.7;7
70.8;8;2;17.3;7
71.5;3;0;19.3;8
72.5;5;14;16.3;8
74.8;11;9;14.9;9
75.1;7;28;18.4;9
77.4;10;21;45.0;10
78.0;3;1;19.2;10
78.3;2;18;28.6;10
80.1;8;5;28.1;11
80.3;1;6;18.8;11
80.4;5;10;16.1;11
81.9;11;7;14.9;11
82.9;0;15;51.9;11
84.1;7;27;18.4;12
84.4;3;0;12.9;12
84.6;4;12;47.9;12
85.5;6;26;20.0;12
85.7;10;22;17.0;12
88.7;5;14;16.2;12
88.7;2;13;29.2;12
89.3;11;9;14.5;12
89.5;8;2;18.7;12
89.7;0;16;69.3;12
90.7;9;26;5.2;12
91.7;3;1;13.7;12
94.2;7;28;19.1;13
96.0;11;7;14.1;13
96.1;1;11;58.3;14
96.1;5;10;15.7;14
97.2;3;4;32.7;14
97.3;4;3;26.7;14
98.3;10;17;35.0;14
99.2;8;5;19.1;15
100.3;2;18;22.0;15
101.3;1;8;66.6;15
