Time;Robot;Node;Idleness;Interferences
23.4;2;18;5.8;0
23.4;8;2;5.8;0
23.4;0;20;5.8;0
23.4;6;19;5.8;0
23.4;11;7;5.8;0
23.4;1;6;5.8;0
23.4;4;3;5.8;0
23.4;7;28;5.8;0
23.4;10;17;5.8;0
23.4;3;0;5.8;0
23.4;5;16;5.8;0
23.6;9;26;6.0;0
29.4;3;1;11.8;0
30.3;11;9;12.7;1
30.7;7;27;13.1;1
32.3;8;5;14.7;1
34.0;0;21;16.4;2
34.1;5;15;16.5;2
34.9;3;4;17.3;2
37.6;2;13;20.0;3
38.0;7;24;20.4;3
38.3;4;12;20.7;3
38.5;10;22;20.9;3
38.8;6;26;15.2;3
40.8;8;8;23.2;4
41.4;0;23;23.8;4
41.6;11;10;24.0;4
42.5;3;0;19.1;5
45.4;5;14;27.8;6
45.9;8;11;28.3;6
49.1;3;1;19.7;8
49.5;2;18;26.1;10
50.6;4;3;27.2;10
52.2;10;17;28.8;10
53.8;6;19;30.4;12
55.2;3;0;12.7;12
56.0;11;7;32.6;13
60.3;0;24;22.3;17
61.4;8;2;38.0;18
61.5;3;1;12.4;18
61.6;5;10;20.0;18
62.0;4;13;24.4;18
63.4;10;11;17.5;19
66.7;3;4;31.8;19
67.5;6;26;28.7;19
68.1;0;23;26.7;20
68.5;10;8;27.7;20
69.6;5;14;24.2;20
69.8;1;7;13.8;20
70.6;2;12;32.3;22
71.0;8;5;38.7;23
73.3;4;3;22.7;24
73.5;3;0;18.3;25
77.0;1;9;46.7;27
77.0;5;10;15.4;27
79.8;3;1;18.3;27
80.4;8;2;19.0;27
80.7;7;24;20.4;27
81.8;0;20;58.4;27
83.6;10;17;31.4;27
83.8;2;18;34.3;27
84.7;1;7;14.9;27
84.8;7;25;67.2;27
