Time;Robot;Node;Idleness;Interferences
41.5;5;16;19.2;6
41.6;3;0;19.1;6
41.7;9;19;19.4;6
44.6;8;11;8.9;6
47.9;3;1;19.6;8
49.4;5;15;15.5;8
52.0;0;23;12.1;10
52.1;4;3;29.9;10
53.7;7;24;16.8;11
54.1;3;0;12.5;11
54.2;2;18;32.0;11
57.0;1;9;29.0;12
57.3;5;16;15.8;13
58.4;8;2;36.1;14
60.8;3;1;12.9;15
62.9;2;18;8.7;15
63.2;1;7;40.9;15
65.2;5;15;15.8;16
66.5;3;4;32.6;17
67.3;0;20;45.1;17
68.1;8;5;37.3;17
71.0;10;17;48.8;18
71.2;1;9;14.2;18
71.8;7;28;49.6;18
73.3;2;13;38.7;20
73.7;5;16;16.4;20
74.6;4;3;22.5;20
76.3;3;0;22.2;22
77.7;8;2;19.3;22
78.4;1;7;15.2;23
78.6;0;21;46.2;23
78.7;2;12;39.0;23
80.8;7;27;51.4;23
81.6;5;15;16.4;23
81.7;10;11;37.1;23
84.1;3;1;23.3;24
85.9;1;9;14.7;25
86.2;4;13;12.9;25
86.8;10;8;47.4;25
87.2;8;5;19.1;25
89.2;0;20;21.9;27
90.1;5;16;16.4;27
90.7;7;28;18.9;27
91.0;3;0;14.7;27
91.4;2;18;28.5;28
92.9;1;7;14.5;28
96.2;6;19;54.5;28
96.8;8;2;19.1;28
97.1;3;1;13.0;28
97.6;4;3;23.0;28
98.1;5;15;16.5;28
99.8;7;27;19.0;29
99.8;0;21;21.2;29
100.6;1;9;14.7;29
102.1;10;17;31.1;31
102.8;3;4;36.3;31
106.7;5;16;16.6;33
107.1;7;25;59.0;33
107.2;2;12;28.5;33
109.4;6;26;87.2;33
110.1;3;0;19.1;33
111.3;1;10;53.7;33
112.6;8;6;90.1;34
113.9;2;13;27.7;34
114.0;7;23;62.0;34
114.0;10;22;56.6;34
114.3;5;15;16.2;34
116.9;4;3;19.3;36
117.2;3;1;20.1;36
118.0;1;14;77.1;36
119.6;7;24;65.9;37
121.9;8;5;34.7;38
122.2;11;7;29.3;38
122.2;6;19;26.0;38
123.0;5;16;16.3;38
123.7;3;0;13.6;38
124.4;2;18;33.0;38
125.1;0;20;35.9;38
125.5;1;10;14.2;38
127.5;10;17;25.4;39
128.3;11;9;27.7;39
130.0;3;1;12.8;40
130.4;8;2;33.6;40
130.9;7;28;40.2;40
131.5;5;15;17.2;40
132.7;4;3;15.8;41
132.8;1;11;51.1;41
135.3;11;7;13.1;41
135.7;3;4;32.9;42
135.9;6;26;26.5;43
136.7;0;21;36.9;43
137.7;2;12;30.5;43
139.1;5;16;16.1;44
139.3;8;5;17.4;44
139.5;7;27;39.7;44
141.0;1;10;15.5;44
142.4;3;0;18.7;45
142.4;11;9;14.1;45
144.5;2;13;30.6;46
146.9;5;15;15.4;47
147.7;0;20;22.6;48
147.7;1;14;29.7;48
148.2;4;3;15.5;48
148.2;7;28;17.3;48
148.4;3;1;18.4;48
149.1;8;2;18.7;48
149.3;11;7;14.0;48
150.8;6;19;28.6;49
154.9;3;0;12.5;50
155.1;2;18;30.7;50
155.2;5;16;16.1;50
155.5;1;10;14.5;50
157.0;11;9;14.6;51
157.3;7;27;17.8;51
158.3;8;5;19.0;52
159.2;0;21;22.5;52
159.7;4;13;15.2;52
160.9;3;1;12.5;52
163.0;5;15;16.1;54
163.0;1;11;30.2;54
163.6;11;7;14.3;54
164.9;7;25;57.8;55
166.0;6;26;30.1;55
166.6;3;4;30.9;55
166.8;0;23;52.8;55
167.9;8;2;18.8;56
168.5;2;17;41.0;56
170.6;11;9;13.6;58
170.9;5;16;15.7;58
171.2;4;3;23.0;58
172.1;0;24;52.5;58
173.4;3;0;18.5;59
176.9;7;28;28.7;61
177.5;11;7;13.9;61
177.7;8;5;19.4;61
177.9;0;23;11.1;61
178.6;1;6;66.0;61
178.7;5;15;15.7;61
179.8;3;1;18.9;61
180.6;2;22;66.6;61
181.0;6;19;30.2;61
183.4;4;12;45.7;61
183.9;0;24;11.8;61
185.5;11;9;14.9;61
185.6;10;8;98.8;61
185.9;7;27;28.6;61
186.3;3;0;12.9;61
186.7;5;16;15.8;61
187.6;8;2;19.7;61
191.6;4;13;31.9;61
192.2;10;11;29.2;61
192.4;11;7;14.9;61
192.8;3;1;13.0;61
194.2;6;26;28.2;61
194.4;5;15;15.7;61
195.1;7;28;18.2;61
198.5;3;4;31.9;62
199.3;0;20;51.6;63
200.1;11;9;14.6;63
201.9;1;6;23.3;64
202.3;4;3;31.1;64
202.4;10;17;33.9;64
202.5;5;16;15.8;64
204.4;7;27;18.5;64
206.3;6;19;25.3;64
206.9;3;0;20.6;64
207.1;11;7;14.7;65
210.2;0;21;51.0;66
210.4;5;15;16.0;66
211.4;1;5;33.7;66
213.2;4;13;21.6;67
213.7;7;28;18.6;67
214.4;3;1;21.6;67
214.8;2;12;31.4;67
214.8;11;9;14.7;67
216.3;10;18;61.2;68
218.9;5;16;16.4;68
220.6;3;0;13.7;68
220.6;0;20;21.3;68
220.6;6;26;26.4;68
221.6;2;13;8.4;68
222.1;11;7;15.0;68
224.6;4;3;22.3;69
225.8;7;25;60.9;69
226.0;1;10;70.5;69
226.6;5;15;16.2;69
226.6;3;1;12.2;70
227.4;8;6;25.5;70
229.9;7;24;46.0;71
230.1;11;9;15.3;71
231.1;0;21;20.9;71
231.4;10;17;29.0;71
232.0;2;18;15.7;71
232.2;3;4;33.7;71
232.6;1;14;84.9;72
233.1;6;19;26.8;72
234.0;7;23;56.1;72
234.4;5;16;15.5;72
237.1;11;7;15.0;72
240.4;1;10;14.4;73
240.7;4;3;16.1;73
241.3;3;0;20.7;73
241.5;7;27;37.1;73
241.7;0;20;21.1;73
242.1;5;15;15.5;73
242.3;10;11;50.1;73
242.5;8;2;54.9;73
244.8;11;9;14.7;74
245.8;2;12;31.0;75
247.7;3;1;21.1;76
250.1;7;28;36.4;77
250.6;5;16;16.2;77
250.9;1;8;65.3;77
251.4;6;26;30.8;77
251.6;4;3;10.9;77
252.1;8;5;40.7;77
252.2;11;7;15.1;77
253.3;0;21;22.2;77
254.2;3;0;12.9;77
258.7;5;15;16.6;79
259.9;11;9;15.1;79
261.7;8;2;19.2;79
262.0;3;1;14.3;79
262.3;10;17;30.9;79
262.5;7;22;81.9;79
263.0;4;13;41.4;79
265.5;0;20;23.8;79
267.0;11;7;14.8;79
267.1;5;16;16.5;79
267.4;6;19;34.3;79
267.5;2;18;35.5;79
267.9;3;4;35.7;79
271.5;8;5;19.4;80
272.7;1;10;32.3;80
274.0;10;11;31.7;81
274.1;11;9;14.2;81
274.4;4;3;22.8;81
275.0;5;15;16.3;81
276.2;7;28;26.1;82
276.4;0;21;23.1;82
276.8;3;0;22.6;82
278.9;1;14;46.3;82
279.1;10;8;28.2;82
280.4;2;12;34.6;82
281.0;11;7;14.0;82
281.2;8;2;19.5;82
282.8;6;26;31.4;82
282.9;5;16;15.8;82
283.2;3;1;21.2;82
283.6;0;24;53.7;82
283.9;7;27;42.4;82
