Time;Robot;Node;Idleness;Interferences
44.6;3;0;20.4;2
52.5;3;1;22.5;2
59.3;3;0;14.7;2
65.1;3;1;12.6;4
71.1;3;4;34.4;5
75.6;5;10;21.2;6
77.2;3;0;17.9;7
81.1;4;5;43.7;7
82.5;1;11;35.5;7
83.2;5;14;14.7;7
83.5;3;1;18.4;7
90.3;3;0;13.1;7
90.4;5;16;66.2;7
90.6;4;2;19.3;7
96.1;3;1;12.6;7
96.6;5;15;59.8;7
96.9;1;6;72.7;7
101.4;2;12;52.4;7
102.1;3;4;31.0;7
105.4;4;2;14.8;7
108.9;3;0;18.6;7
110.3;5;20;86.1;7
113.8;0;26;24.4;7
113.8;2;18;89.6;7
114.1;1;6;17.2;7
115.5;3;1;19.4;7
119.9;5;21;84.6;7
121.7;3;0;12.8;7
123.9;1;5;42.8;7
124.0;4;2;18.6;7
125.1;2;13;86.3;7
127.5;3;1;12.0;7
133.5;4;5;9.6;7
133.6;3;4;31.5;7
134.1;1;6;20.0;7
135.2;2;3;111.0;7
139.3;0;24;96.7;7
139.6;5;23;92.5;7
140.2;3;0;18.5;7
143.3;4;2;19.3;7
143.9;0;25;88.2;7
146.7;3;1;19.2;7
146.9;5;27;83.7;7
147.8;2;12;46.4;7
