Time;Robot;Node;Idleness;Interferences
47.7;1;5;24.9;0
62.8;2;6;40.0;0
75.7;2;3;41.3;0
77.4;1;5;29.7;0
89.4;2;6;26.6;0
90.2;3;10;67.2;0
98.5;3;8;67.8;0
102.1;2;4;51.9;0
104.6;1;5;27.2;0
107.3;3;10;17.1;0
115.4;2;6;26.0;0
116.4;0;1;84.9;0
116.7;3;9;66.9;0
120.7;1;3;45.0;0
126.7;0;0;103.9;0
128.5;3;10;21.2;0
130.9;2;7;63.5;0
134.4;1;5;29.8;0
136.8;3;8;38.3;0
138.4;0;1;22.0;0
145.0;2;6;29.6;0
145.7;3;10;17.2;0
147.5;1;3;26.8;0
149.6;0;0;22.9;0
156.0;3;8;19.2;0
158.6;2;4;56.5;0
159.1;1;2;62.7;0
161.1;0;1;22.7;0
164.8;3;10;19.1;0
171.2;1;3;23.7;0
172.2;0;0;22.6;0
173.5;2;6;28.5;0
174.1;3;9;57.4;0
183.0;1;5;48.6;0
183.7;0;1;22.6;0
184.6;3;10;19.8;0
187.0;2;7;56.1;0
189.1;1;5;6.1;0
192.6;3;8;36.6;0
195.1;0;0;22.9;0
200.9;2;6;27.4;0
201.4;3;10;16.8;0
201.8;1;3;30.6;0
207.9;0;1;24.2;0
212.0;3;8;19.4;0
215.0;2;4;56.4;0
219.1;0;0;24.0;0
220.9;3;10;19.5;0
222.2;1;5;33.1;0
227.6;2;6;26.7;0
230.0;3;9;55.9;0
230.7;0;1;22.8;0
235.1;1;3;33.3;0
240.3;3;10;19.4;0
241.9;0;0;22.8;0
242.9;2;7;55.9;0
245.6;1;2;86.5;0
248.3;3;8;36.3;0
253.2;0;1;22.5;0
256.7;2;6;29.1;0
257.2;3;10;16.9;0
257.7;1;3;22.6;0
264.5;0;0;22.6;0
