Time;Robot;Node;Idleness;Interferences
54.7;1;5;32.6;0
71.5;2;6;49.4;0
73.4;3;10;51.3;0
75.4;1;3;37.2;0
84.3;3;8;51.9;0
93.5;1;5;38.8;0
97.0;3;10;23.6;0
109.4;3;8;25.1;0
112.5;1;3;37.1;0
112.6;2;6;41.1;0
121.6;3;10;24.6;2
136.8;3;9;76.2;2
138.9;0;1;104.6;2
149.0;3;10;27.4;2
149.4;1;3;36.9;2
153.0;0;0;130.9;2
167.0;0;1;28.1;2
167.5;2;4;113.1;2
170.4;3;8;61.0;2
181.7;0;0;28.7;2
182.6;3;10;33.6;2
189.8;1;5;96.3;2
197.6;0;1;30.6;2
205.3;1;3;55.9;2
211.0;0;0;29.3;2
218.0;1;2;85.8;2
219.9;3;8;49.5;2
232.5;1;3;27.2;2
232.9;3;10;50.3;2
245.9;3;9;109.1;2
250.0;1;6;137.4;2
277.1;0;1;79.5;4
292.9;0;0;81.9;4
305.3;2;9;59.4;4
389.5;0;1;112.4;16
435.4;1;5;245.6;18
441.7;0;3;209.2;18
456.0;1;8;236.1;18
457.3;0;2;239.3;18
515.5;1;10;282.6;18
