Time;Robot;Node;Idleness;Interferences
66.3;2;6;46.2;0
84.8;2;3;48.2;0
100.1;3;10;80.0;0
101.5;2;5;81.4;0
109.4;3;8;78.0;0
119.1;2;3;34.3;4
124.2;0;1;91.6;4
124.8;1;5;23.3;4
135.4;2;6;69.1;7
136.5;0;0;116.4;7
139.4;1;8;30.0;7
150.5;2;4;102.0;7
152.4;0;1;28.2;7
166.9;0;0;30.4;10
167.4;2;6;32.0;10
174.5;2;7;104.3;12
179.2;1;5;54.4;12
179.7;2;9;127.6;12
182.2;0;1;29.8;12
190.2;3;8;50.8;12
200.6;3;10;100.5;12
201.0;0;0;34.1;12
212.9;3;8;22.7;12
214.2;0;1;32.0;12
229.4;0;2;128.9;12
234.1;2;9;54.4;12
240.6;0;3;121.5;14
254.3;0;1;40.1;15
270.4;0;0;69.4;15
283.5;0;1;29.2;15
374.3;3;5;195.1;15
385.2;0;4;234.7;15
