Time;Robot;Node;Idleness;Interferences
47.9;1;5;26.8;0
59.8;2;6;38.7;0
63.1;1;3;28.7;0
72.4;2;4;25.5;0
76.1;1;5;28.2;0
79.1;3;9;33.9;0
88.5;3;10;67.4;0
90.2;1;8;62.1;0
99.2;3;0;78.0;0
116.9;2;3;53.8;0
121.5;0;1;92.3;0
131.0;2;6;71.2;0
132.2;0;0;33.0;0
142.2;3;5;66.1;0
143.5;0;1;22.0;0
153.6;1;1;10.1;0
157.9;3;0;25.7;0
164.2;1;2;66.1;0
173.2;3;5;31.0;1
175.7;1;1;22.1;2
185.2;2;4;112.8;2
186.2;1;2;22.0;2
191.1;3;0;33.2;2
193.5;2;6;62.5;2
196.1;1;3;79.2;2
209.5;2;9;130.4;2
212.7;3;8;122.5;2
221.2;3;10;132.7;2
230.3;3;8;17.6;2
231.6;2;7;168.1;2
