Time;Robot;Node;Idleness;Interferences
46.9;1;5;25.6;0
61.3;2;6;40.0;0
74.9;1;5;28.0;0
75.3;2;3;41.5;0
88.0;2;6;26.7;0
89.7;1;8;59.7;0
90.9;3;10;69.6;0
100.3;2;4;50.8;0
102.4;1;5;27.5;0
115.1;0;1;84.9;0
124.4;0;0;103.1;0
135.7;0;1;20.6;0
183.0;0;2;86.6;2
192.5;0;3;117.2;2
208.5;0;7;140.5;2
222.2;0;9;171.9;2
235.7;0;6;147.7;2
237.7;2;3;45.2;2
252.1;1;5;149.7;2
254.7;2;1;119.0;2
271.0;1;0;146.6;6
278.4;2;2;95.4;6
290.2;2;1;35.5;6
300.9;2;2;22.5;6
326.6;0;4;226.3;6
336.1;1;10;245.2;6
337.8;2;3;100.1;6
352.8;0;1;62.6;6
362.3;0;0;91.3;6
373.8;0;1;21.0;6
378.6;2;6;142.9;6
385.0;0;0;22.7;6
394.3;2;7;185.8;6
410.5;2;9;188.3;6
420.6;2;10;84.5;6
494.1;2;11;478.8;12
