Time;Robot;Node;Idleness;Interferences
37.5;1;5;4.5;5
41.5;3;1;12.3;6
44.1;2;26;19.7;7
46.5;1;6;23.1;9
46.8;5;16;23.4;9
47.8;3;4;12.5;9
48.5;8;2;24.1;10
49.9;7;27;18.3;10
51.2;10;17;27.8;10
54.0;3;1;12.5;12
56.1;11;16;9.3;14
56.6;5;15;16.7;14
57.0;1;5;19.5;14
61.1;6;26;17.0;16
64.3;2;18;40.9;20
64.6;0;27;14.7;20
65.3;5;16;9.2;21
67.2;4;5;10.2;23
67.4;7;20;44.0;23
67.6;9;19;44.2;23
71.2;11;15;14.6;27
72.4;0;24;32.0;30
74.9;10;18;10.6;32
78.9;1;1;24.9;35
81.5;9;26;20.4;39
83.0;0;24;10.6;39
83.2;5;15;12.0;39
84.4;1;4;36.6;44
88.4;8;5;21.2;47
89.6;3;0;66.2;48
89.9;0;27;25.3;49
89.9;6;18;15.0;49
90.5;7;15;7.3;49
90.7;1;1;11.8;49
95.8;3;1;5.1;51
96.6;2;26;15.1;53
97.9;0;28;73.5;53
97.9;8;11;40.4;53
98.6;5;20;31.2;54
101.4;3;4;17.0;56
101.7;4;1;5.9;56
101.7;7;9;72.7;56
102.8;8;8;50.3;56
107.0;1;5;18.6;56
107.2;0;27;17.3;56
107.7;2;19;40.1;56
108.2;3;1;6.5;56
109.2;9;28;11.3;57
111.5;11;9;9.8;58
112.2;8;12;70.3;58
113.0;6;26;16.4;58
113.9;3;0;24.3;58
115.4;1;2;66.9;58
116.9;11;7;93.5;59
117.1;0;28;7.9;59
117.8;8;13;81.4;59
118.1;7;14;80.0;59
