Time;Robot;Node;Idleness;Interferences
55.6;6;3;26.9;31
61.8;3;5;33.1;33
67.2;1;1;38.5;34
73.3;7;2;44.6;37
80.9;6;0;52.2;37
84.6;0;9;55.9;37
85.8;3;0;4.9;37
87.6;9;6;58.9;37
91.0;8;7;62.3;37
91.6;1;0;5.8;37
94.9;2;8;66.2;37
97.7;4;4;69.0;38
106.6;7;0;15.0;40
116.1;7;0;9.5;45
124.5;5;12;95.8;51
141.6;5;13;112.9;63
142.7;4;0;26.6;64
155.4;5;19;126.7;70
167.3;2;0;24.6;78
177.6;5;18;148.9;83
195.3;5;17;166.6;90
211.5;5;15;182.8;98
225.9;5;16;197.2;105
244.8;9;0;77.5;114
248.1;8;0;3.3;115
253.7;5;14;225.0;115
278.6;5;10;249.9;115
296.5;5;11;267.8;115
339.5;5;0;91.4;117
349.1;5;0;9.6;120
