Time;Robot;Node;Idleness;Interferences
55.7;6;3;26.3;28
62.8;3;5;33.4;34
68.0;1;1;38.6;36
74.1;7;2;44.7;40
80.6;9;6;51.2;44
83.4;6;0;54.0;45
90.2;1;0;6.8;46
90.8;0;9;61.4;46
93.5;2;8;64.1;47
99.4;4;4;70.0;50
107.4;7;0;17.2;53
112.9;5;12;83.5;59
116.8;7;0;9.4;60
117.9;8;7;88.5;60
130.8;5;13;101.4;68
144.7;5;19;115.3;79
151.4;0;0;34.6;83
165.9;5;18;136.5;93
182.6;5;17;153.2;105
199.0;5;15;169.6;113
208.8;8;0;57.4;120
213.7;5;16;184.3;123
224.6;3;0;15.8;127
240.2;5;14;210.8;134
242.7;9;0;18.1;135
264.3;5;10;234.9;146
