Time;Robot;Node;Idleness;Interferences
53.6;6;3;24.1;26
61.5;3;5;32.0;28
67.2;1;1;37.7;31
71.1;9;6;41.6;33
72.2;7;2;42.7;35
80.3;0;9;50.8;39
87.5;3;0;58.0;42
91.4;5;12;61.9;46
97.8;8;7;68.3;53
99.2;1;0;11.7;55
108.5;5;13;79.0;63
122.1;5;19;92.6;74
129.6;6;0;30.4;80
138.5;4;4;109.0;85
140.5;7;0;10.9;86
141.8;2;8;112.3;87
143.0;5;18;113.5;88
147.3;0;0;6.8;89
159.8;5;17;130.3;94
160.7;8;0;13.4;94
174.5;4;0;13.8;99
177.0;5;15;147.5;100
191.4;5;16;161.9;105
218.7;5;14;189.2;117
235.7;9;0;61.2;125
242.4;5;10;212.9;126
258.9;5;11;229.4;129
290.4;2;0;54.7;135
302.2;5;0;11.8;139
