Time;Robot;Node;Idleness;Interferences
52.6;2;6;30.3;17
60.1;1;2;37.8;17
60.5;3;3;38.2;17
66.3;5;1;44.0;17
68.5;0;11;46.2;17
73.2;2;0;50.9;17
74.2;4;4;51.9;17
84.5;0;10;62.2;20
86.8;3;0;13.6;20
91.9;1;0;5.1;21
100.0;4;8;77.7;23
104.2;5;0;12.3;23
104.5;0;14;82.2;24
113.7;5;0;9.5;26
125.9;4;9;103.6;26
131.2;0;16;108.9;26
145.9;0;15;123.6;26
149.9;4;7;127.6;26
162.7;0;17;140.4;26
163.9;4;5;141.6;26
180.3;0;18;158.0;26
199.7;0;19;177.4;30
214.5;0;13;192.2;34
231.4;0;12;209.1;37
327.4;4;0;213.7;57
331.2;0;0;3.8;59
333.8;4;0;2.6;59
