Time;Robot;Node;Idleness;Interferences
45.6;3;10;24.1;0
50.2;2;5;28.5;0
55.5;1;10;9.9;0
56.1;3;9;21.0;0
63.2;0;1;31.9;1
67.6;2;3;32.6;3
73.0;0;0;51.3;5
85.8;1;9;29.7;7
86.4;0;1;23.2;8
92.0;2;3;24.4;8
100.0;3;10;44.5;8
110.8;3;9;25.0;8
116.5;1;6;94.8;8
131.3;2;2;53.2;10
137.7;0;2;6.4;10
140.1;2;3;48.1;10
148.2;0;1;61.8;10
150.5;2;2;12.8;10
158.0;2;4;110.2;10
160.2;0;2;9.7;10
170.3;0;4;12.3;12
178.9;0;6;62.4;12
180.7;1;8;139.8;12
190.3;1;11;174.6;12
200.0;1;8;19.3;12
205.5;1;6;26.6;12
212.9;1;8;12.9;12
261.8;1;5;211.6;12
277.7;1;3;137.6;12
285.8;0;4;115.5;12
296.3;1;5;34.5;12
302.1;0;1;153.9;12
311.6;0;0;238.6;14
316.3;1;3;38.6;14
324.1;0;1;22.0;16
333.2;1;5;36.9;17
337.6;0;3;21.3;18
353.1;2;6;147.6;18
367.1;2;7;263.4;18
373.2;0;2;213.0;18
381.1;1;0;69.5;18
384.6;2;9;273.8;18
385.1;0;1;61.0;18
393.9;2;10;293.9;18
395.6;0;2;22.4;18
404.1;0;3;66.5;18
404.3;2;9;19.7;18
415.7;2;10;21.8;18
420.3;1;5;87.1;18
421.2;0;7;54.1;18
461.4;1;10;45.7;18
465.1;2;5;44.8;18
474.1;2;6;121.0;18
474.5;1;11;284.2;18
489.3;2;9;85.0;18
512.2;0;9;22.9;23
531.1;0;7;109.9;23
534.7;2;15;519.0;23
544.4;0;6;70.3;23
547.8;2;9;35.6;23
558.8;0;7;27.7;23
