Time;Robot;Node;Idleness;Interferences
21.9;0;10;6.5;0
21.9;3;10;0.0;0
22.1;1;10;0.2;1
22.1;2;10;0.0;1
39.5;0;9;24.1;11
51.4;0;10;29.3;15
61.3;0;8;45.9;18
69.0;1;8;7.7;19
72.2;0;5;56.8;20
81.0;3;9;41.5;22
83.8;0;3;68.4;22
92.7;2;8;23.7;23
95.1;0;2;79.7;24
95.5;1;10;44.1;24
105.4;2;10;9.9;26
107.3;0;3;23.5;27
107.8;1;9;26.8;27
145.1;3;10;39.7;35
149.1;2;8;56.4;35
154.8;3;8;5.7;35
160.4;2;5;88.2;35
167.0;3;5;6.6;35
178.9;2;3;71.6;39
223.0;3;3;44.1;57
224.9;2;2;129.8;57
247.0;2;3;24.0;64
248.9;0;2;24.0;65
265.1;1;10;120.0;69
270.3;3;2;21.4;70
274.6;1;8;119.8;71
284.7;0;3;37.7;73
285.5;1;5;118.5;73
287.0;2;6;271.6;73
304.2;1;3;19.5;80
315.9;3;3;11.7;85
351.9;1;2;81.6;97
