Time;Robot;Node;Idleness;Interferences
47.1;0;20;21.9;1
47.1;3;5;9.4;1
55.1;2;11;6.5;3
58.2;0;21;22.2;4
63.0;3;1;32.1;6
63.9;4;12;20.6;7
65.0;5;10;8.8;7
69.0;3;0;43.8;8
69.6;0;20;22.5;9
69.8;1;9;22.3;9
69.8;4;13;32.2;9
75.4;3;1;12.4;9
75.5;2;10;10.5;9
79.3;5;11;24.2;9
79.8;4;3;54.5;9
82.6;0;15;46.1;10
83.8;1;9;14.0;10
90.7;3;5;43.6;13
91.2;4;13;21.4;13
92.2;0;9;8.4;13
94.7;1;10;19.2;14
96.5;4;12;32.6;15
103.7;4;13;12.5;17
103.7;0;15;21.1;17
107.5;1;9;15.3;18
108.5;3;5;17.8;18
110.2;0;16;84.9;18
110.8;4;12;14.3;18
114.0;5;8;61.0;18
116.2;3;6;91.0;18
118.4;2;11;39.1;19
119.3;1;10;24.6;19
125.5;3;5;17.0;23
132.1;0;10;12.8;27
135.1;3;11;16.7;28
137.2;1;9;29.7;28
137.3;2;10;5.2;28
140.1;4;8;26.1;30
145.6;3;17;110.2;33
146.2;2;11;11.1;34
151.0;4;12;40.2;36
156.8;2;17;11.2;38
156.8;5;12;5.8;38
160.9;4;8;20.8;39
162.5;5;13;58.8;40
169.3;5;12;12.5;42
170.5;2;18;145.3;43
175.2;4;12;5.9;46
185.3;2;17;28.5;51
188.4;4;8;27.5;52
192.2;5;13;29.7;53
196.0;3;20;126.4;54
198.2;2;22;39.9;55
202.6;5;3;122.8;56
206.3;2;21;148.1;57
212.0;0;9;74.8;58
213.9;5;13;21.7;58
215.2;3;27;36.9;59
221.7;0;15;118.0;61
224.5;5;18;54.0;62
228.0;2;24;14.7;63
228.6;0;16;118.4;63
230.0;4;12;54.8;63
230.1;1;10;92.8;63
234.1;2;23;16.8;64
237.1;0;14;119.7;65
237.5;5;13;23.6;65
242.6;1;9;30.6;65
243.4;0;10;13.3;65
244.2;4;8;55.8;65
249.4;5;18;24.9;66
249.8;0;11;103.6;66
251.8;3;20;55.8;67
252.4;1;15;30.7;67
258.5;4;11;8.7;68
259.1;0;5;133.6;68
259.5;1;16;30.9;68
260.4;2;24;32.4;68
261.3;5;13;23.8;68
265.3;4;10;21.9;68
267.5;1;15;15.1;68
269.5;2;24;9.1;68
270.5;3;27;55.3;68
271.1;5;3;68.5;68
274.4;0;1;199.0;68
275.2;2;25;11.0;68
275.6;4;9;33.0;68
279.9;0;0;210.9;69
280.3;1;20;28.5;69
281.3;4;7;205.6;70
282.8;5;13;21.5;70
287.5;0;1;13.1;72
288.3;5;12;58.3;72
289.1;4;9;13.5;72
295.3;1;15;27.8;74
301.9;0;1;14.4;79
302.8;5;8;58.6;79
307.7;0;0;27.8;81
308.1;5;11;49.6;81
308.3;1;9;19.2;81
310.1;4;15;14.8;81
311.0;3;24;41.5;81
313.9;0;1;12.0;81
316.3;4;16;56.8;82
317.2;2;24;6.2;82
319.6;5;17;134.3;83
319.9;1;15;9.8;83
320.2;0;0;12.5;83
324.7;4;14;87.6;85
326.4;0;1;12.5;85
327.6;2;27;57.1;86
332.1;0;4;38.1;86
333.0;1;20;52.7;86
333.2;4;16;16.9;86
333.3;5;18;83.9;86
335.9;2;28;165.4;86
