Time;Robot;Node;Idleness;Interferences
21.5;3;10;5.9;0
21.5;2;6;5.9;0
21.6;1;5;6.0;0
21.6;0;0;6.0;0
28.9;0;1;13.3;0
32.2;2;3;16.6;0
33.3;1;8;17.7;0
41.4;1;10;19.9;2
41.8;0;3;9.6;2
52.8;0;2;37.2;2
66.9;3;9;51.3;2
68.3;2;1;39.4;2
84.5;2;4;68.9;2
85.2;3;7;69.6;2
87.7;0;3;45.9;2
89.5;1;9;22.6;2
98.9;0;5;77.3;2
117.6;0;8;84.3;5
125.7;0;10;84.3;7
129.9;1;7;44.7;8
139.4;0;9;49.9;10
239.7;2;1;171.4;32
249.0;2;0;227.4;32
252.9;3;9;113.5;32
262.8;2;1;23.1;33
276.6;2;3;188.9;36
295.4;2;2;242.6;38
310.5;0;10;184.8;40
319.2;0;8;201.6;43
328.8;2;3;52.2;43
332.7;0;5;233.8;43
347.0;0;3;18.2;47
347.6;2;5;14.9;47
363.7;2;8;44.5;51
367.9;1;9;115.0;52
371.6;2;10;61.1;52
378.4;3;7;248.5;53
381.6;1;10;10.0;54
390.7;1;8;27.0;56
399.2;2;8;8.5;56
405.6;1;5;58.0;56
415.9;2;5;10.3;56
418.5;1;3;71.5;56
428.8;2;3;10.3;56
434.5;1;2;139.1;56
503.1;1;3;74.3;71
503.5;0;2;69.0;71
516.8;1;1;254.0;74
521.9;3;9;154.0;75
526.7;1;0;277.7;76
530.6;0;3;27.5;77
539.3;1;1;22.5;79
545.8;3;10;164.2;81
554.2;3;8;155.0;82
557.6;1;4;473.1;83
574.4;3;5;158.5;86
594.2;2;2;90.7;92
620.9;3;8;66.7;93
629.0;3;10;83.2;93
640.2;3;9;118.3;93
641.7;2;3;111.1;93
656.3;3;7;277.9;93
683.6;0;1;144.3;93
700.7;0;4;143.1;95
710.1;1;1;26.5;95
724.1;1;3;82.4;95
742.7;2;5;168.3;95
762.4;2;8;141.5;95
770.5;2;10;141.5;95
783.5;2;9;143.3;95
810.3;3;9;26.8;97
811.9;2;7;155.6;97
824.4;3;10;53.9;97
832.7;3;8;70.3;97
850.9;3;5;108.2;97
854.8;0;1;144.7;97
862.5;3;3;138.4;97
864.4;0;0;337.7;97
877.5;0;1;22.7;100
885.4;1;1;7.9;103
894.8;0;3;32.3;103
895.2;1;0;30.8;103
906.9;1;1;21.5;103
924.2;1;4;223.5;106
955.7;2;9;145.4;106
955.9;3;1;49.0;106
968.2;2;10;143.8;106
976.9;2;8;144.2;108
990.3;2;5;139.4;111
998.4;3;3;103.6;111
1009.4;2;3;11.0;111
1015.3;3;2;421.1;111
1040.2;0;5;49.9;115
1058.7;0;8;81.8;118
1066.6;0;10;98.4;120
1078.8;0;9;123.1;122
1080.1;1;1;124.2;123
1096.1;0;7;284.2;126
1100.3;1;3;90.9;126
1138.6;3;3;38.3;134
