Time;Robot;Node;Idleness;Interferences
21.4;1;5;5.9;0
21.4;2;6;5.9;0
21.4;0;0;5.9;0
21.5;3;10;6.0;0
28.7;0;1;13.2;0
33.3;1;8;17.8;0
41.0;1;10;19.5;0
44.1;0;4;28.6;0
55.8;1;9;40.3;0
58.6;2;7;43.1;0
72.8;1;7;14.2;5
77.8;3;9;22.0;5
84.5;2;9;6.7;7
97.4;2;10;56.4;7
105.7;2;8;72.4;9
121.5;2;5;100.1;9
133.6;2;3;118.1;9
148.0;2;1;119.3;9
153.8;3;10;56.4;9
161.8;3;8;56.1;9
166.3;2;4;122.2;9
186.7;3;5;65.2;9
198.5;3;3;64.9;9
198.5;0;1;50.5;9
223.7;1;9;139.2;13
233.9;0;3;35.4;15
237.4;1;10;83.6;15
245.4;0;5;58.7;15
245.6;1;8;83.8;15
248.5;3;1;50.0;15
257.9;3;0;236.5;17
264.3;0;8;18.7;17
267.7;1;5;22.3;17
269.8;3;1;21.3;17
272.4;0;10;35.0;17
280.4;1;3;46.5;17
286.1;0;9;62.4;17
295.1;3;4;128.8;17
302.9;0;7;230.1;17
320.0;2;1;50.2;17
329.5;2;0;71.6;17
342.4;2;1;22.4;17
356.5;2;3;76.1;17
376.0;2;2;360.5;17
397.5;2;3;41.0;17
426.7;1;5;159.0;17
446.0;1;8;181.7;17
449.7;3;1;107.3;17
451.6;0;9;165.5;17
453.9;1;10;181.5;17
465.8;0;10;11.9;21
470.9;3;3;73.4;21
473.6;1;9;22.0;21
474.7;0;8;28.7;21
489.3;0;5;62.6;21
490.9;1;7;188.0;21
