Time;Robot;Node;Idleness;Interferences
22.4;2;6;6.0;0
22.4;1;5;6.0;0
22.4;0;0;6.0;0
22.4;3;10;6.0;0
29.7;0;1;13.3;0
34.3;1;8;17.9;0
41.9;1;10;19.5;0
41.9;0;3;25.5;0
44.5;2;4;28.1;0
55.6;1;9;39.2;0
58.5;0;5;36.1;0
64.8;2;1;35.1;0
65.2;3;9;9.6;0
69.0;0;8;34.7;0
75.1;2;0;52.7;0
75.4;1;7;59.0;0
76.8;0;10;34.9;0
86.1;2;1;21.3;0
90.6;0;9;25.4;0
114.4;2;3;72.5;5
126.7;2;5;68.2;9
141.8;2;8;72.8;13
149.9;2;10;73.1;14
160.0;3;10;10.1;16
161.5;0;7;86.1;17
167.8;3;8;26.0;17
175.2;1;9;84.6;18
182.6;3;5;55.9;19
182.7;2;9;7.5;19
191.4;1;10;31.4;19
194.6;3;3;80.2;19
199.9;1;8;32.1;19
215.8;1;5;33.2;21
216.8;3;2;200.4;21
227.5;1;3;32.9;23
241.4;1;1;155.3;28
242.8;3;3;15.3;29
251.1;1;0;176.0;30
262.6;1;1;21.2;34
270.7;3;1;8.1;36
279.9;1;4;235.4;38
280.4;3;0;29.3;38
292.3;3;1;21.6;41
311.7;0;9;129.0;45
320.5;3;4;40.6;45
324.8;0;10;133.4;45
333.3;0;8;133.4;45
351.4;0;5;135.6;45
363.8;2;10;39.0;45
364.5;0;3;121.7;45
372.5;2;8;39.2;45
388.3;2;5;36.9;45
408.2;2;3;43.7;47
424.1;2;2;207.3;49
433.6;1;1;141.3;49
445.9;2;3;37.7;51
447.6;3;1;14.0;52
483.4;1;3;37.5;64
483.7;3;4;163.2;64
541.8;0;2;117.7;77
548.1;2;1;100.5;77
563.3;0;3;79.9;77
565.3;2;4;81.6;77
646.0;3;1;97.9;84
674.5;1;2;132.7;89
710.7;3;4;145.4;93
718.8;0;2;44.3;94
721.1;2;1;75.1;95
730.4;2;0;450.0;97
741.3;0;3;178.0;98
741.7;2;1;20.6;98
779.9;1;3;38.6;113
785.5;2;4;74.8;113
797.6;3;1;55.9;113
819.0;3;3;39.1;115
905.8;1;1;108.2;120
909.7;3;5;521.4;120
915.4;1;0;185.0;120
925.2;3;8;552.7;120
926.9;1;1;21.1;120
