Time;Robot;Node;Idleness;Interferences
21.8;1;5;5.8;0
21.9;2;6;5.9;0
21.9;3;10;5.9;0
22.0;0;0;6.0;0
29.3;0;1;13.3;0
32.1;1;3;16.1;0
32.1;3;8;16.1;0
43.4;2;4;27.4;2
44.7;0;3;12.6;3
56.4;1;1;27.1;3
66.1;1;0;44.1;5
67.3;2;1;10.9;5
77.2;1;1;9.9;7
83.8;2;0;17.7;7
93.3;1;4;49.9;7
95.5;2;1;18.3;7
134.6;2;3;89.9;7
153.2;2;2;137.2;7
172.1;2;3;37.5;7
183.2;3;10;161.3;7
183.4;2;5;161.6;7
195.9;3;9;179.9;7
196.8;2;8;164.7;7
198.2;0;1;102.7;7
204.6;2;10;21.4;7
215.7;0;4;122.4;7
215.9;2;9;20.0;7
234.6;2;7;218.6;9
249.2;1;1;51.0;11
269.2;3;10;64.6;11
277.8;3;8;81.0;11
289.1;1;3;117.0;11
292.6;3;5;109.2;11
305.4;3;3;16.3;11
306.4;1;2;153.2;11
321.5;3;1;72.3;11
325.9;1;3;20.5;11
331.3;3;0;247.5;11
345.7;3;1;24.2;11
362.1;3;4;146.4;11
370.4;0;1;24.7;11
377.3;2;9;161.4;11
380.1;0;0;48.8;11
389.0;2;10;119.8;11
392.9;0;1;22.5;11
397.3;2;8;119.5;11
