Time;Robot;Node;Idleness;Interferences
19.5;1;0;5.0;0
19.5;0;17;5.0;0
25.1;1;1;10.6;0
31.1;1;4;16.6;0
33.7;0;11;19.2;0
39.4;1;0;19.9;0
43.0;0;5;28.5;0
46.5;1;1;21.4;0
50.8;0;2;36.3;0
51.6;1;4;20.5;0
58.3;1;0;18.9;0
64.4;1;1;17.9;0
66.3;0;6;51.8;0
69.8;1;4;18.2;0
75.5;0;5;32.5;0
76.7;1;0;18.4;0
83.3;1;1;18.9;0
84.6;0;8;70.1;0
89.2;1;4;19.4;0
95.6;0;12;81.1;0
96.0;1;0;19.3;0
101.0;0;13;86.5;0
102.7;1;1;19.4;0
108.9;1;4;19.7;0
111.2;0;18;96.7;0
115.3;1;0;19.3;0
121.7;1;1;19.0;0
128.1;1;4;19.2;0
132.8;0;22;118.3;0
134.8;1;0;19.5;0
140.2;0;21;125.7;0
147.9;0;24;133.4;0
148.8;1;1;27.1;0
160.5;0;25;146.0;0
164.3;1;4;36.2;0
172.2;1;0;37.4;0
183.5;0;15;169.0;0
190.2;1;1;41.4;0
193.2;0;9;178.7;0
199.1;0;7;184.6;0
206.3;1;4;42.0;0
212.1;0;10;197.6;0
218.7;0;14;204.2;0
