Time;Robot;Node;Idleness;Interferences
19.8;1;0;6.9;0
19.8;0;17;6.9;0
25.4;1;1;12.5;0
31.4;1;4;18.5;0
35.8;0;11;22.9;0
38.8;1;0;19.0;0
45.0;0;5;32.1;0
46.0;1;1;20.6;0
51.9;1;4;20.5;0
52.9;0;2;40.0;0
58.9;1;0;20.1;0
65.6;1;1;19.6;0
68.6;0;6;55.7;0
71.3;1;4;19.4;0
77.9;0;5;32.9;0
78.9;1;0;20.0;0
85.4;1;1;19.8;0
86.4;0;8;73.5;0
90.6;1;4;19.3;0
96.9;0;12;84.0;0
98.6;1;0;19.7;0
102.6;0;13;89.7;0
105.5;1;1;20.1;0
111.8;1;4;21.2;0
112.7;0;18;99.8;0
118.9;1;0;20.3;0
125.9;1;1;20.4;0
132.3;1;4;20.5;0
133.6;0;22;120.7;0
138.9;1;0;20.0;0
141.4;0;21;128.5;0
148.5;0;24;135.6;0
153.1;1;1;27.2;0
161.0;0;25;148.1;0
171.0;1;4;38.7;0
179.0;1;0;40.1;0
185.2;0;15;172.3;0
194.9;0;9;182.0;0
195.0;1;1;41.9;0
200.8;0;7;187.9;0
211.0;1;4;40.0;0
